Processes: 490 total, 3 running, 487 sleeping, 3732 threads 
2025/06/01 16:00:37
Load Avg: 1.34, 1.62, 2.05 
CPU usage: 5.19% user, 13.13% sys, 81.67% idle 
SharedLibs: 237M resident, 54M data, 35M linkedit.
MemRegions: 1112708 total, 1435M resident, 113M private, 713M shared.
PhysMem: 7458M used (1421M wired, 3505M compressor), 177M unused.
VM: 297T vsize, 5709M framework vsize, 760695(0) swapins, 1104588(0) swapouts.
Networks: packets: 12705930/15G in, 3015601/1167M out.
Disks: 14222817/346G read, 4802138/119G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS        %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT  MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES JETPRI USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
24860  sysextd          0.0  00:00.08 2     1   44     3505K 0B    3216K 24860 1     sleeping *0[2]         0.00000 0.00000    0   1251     155    131      51        958       324       498       64      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24859  nesessionmanager 0.0  00:00.28 2     1   77     4161K 0B    3872K 24859 1     sleeping *0[2]         0.00000 0.00000    0   1605     144    919      117       6666      1954      2688      100     0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24858  backgroundtaskma 0.0  00:00.09 2     1   57     3937K 0B    3632K 24858 1     sleeping *0[3]         0.00000 0.00000    0   1991     144    187      65        1991      428       295       65      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24857  smd              0.0  00:00.02 2     1   28     1889K 0B    1664K 24857 1     sleeping *0[3]         0.00000 0.00000    0   741      116    88       46        448       228       89        24      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24856  findmybeaconingd 0.0  00:01.21 2     1   42     4801K 0B    4464K 24856 1     sleeping *0[10]        0.00000 0.00000    0   2060     170    206      82        1865      582       1480      81      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24855  neagent          0.0  00:00.16 2     1   52     3441K 0B    3120K 24855 1     sleeping *0[1]         0.00000 0.00000    501 1682     136    650      524       6316      1312      1170      19      0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24852  Slack Helper (Re 0.0  00:44.29 15    1   166    379M  0B    328M  24835 24835 sleeping *3[368]       0.00000 0.00000    501 326504   1176   310204   130551    305418    765086    354345    2039    2276     0.0   0      0      180    jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24851  coresymbolicatio 0.0  00:00.07 2     1   24     1889K 0B    1664K 24851 1     sleeping  0[0]         0.00000 0.00000    0   1163     115    173      97        792       306       671       50      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24850  aneuserd         0.0  00:00.07 2     1   40     2897K 0B    2640K 24850 1     sleeping *0[1]         0.00000 0.00000    296 1142     135    161      70        792       338       431       23      0        0.0   0      0      0      _neuralengine      N/A    N/A   N/A   N/A   N/A   N/A  
24848  MTLCompilerServi 0.0  00:06.05 2     1   36     18M   0B    18M   24848 1     sleeping *0[119]       0.00000 0.00000    501 25570    314    17675    8879      10571     9330      13375     3203    0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
